date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2023-10-01,1670.97,1756.57,1668.69,1733.44,1756.57,6.0,-1.3167707520907155,1668.69,6.0,3.880289328754891,1661.26,4.3448948388572575,1611.72,7.552180279453008
2023-10-02,1733.44,1743.65,1638.79,1662.8,1756.57,5.0,-5.338244419522136,1638.79,6.0,1.4651053521195512,1661.26,0.09270072113937396,1611.72,3.1692849874668014
2023-10-03,1662.8,1670.57,1643.9,1656.96,1756.57,4.0,-5.670710532458138,1638.79,5.0,1.1087448666394153,1661.26,-0.25883967590864493,1611.72,2.8069391705755344
2023-10-04,1656.96,1657.76,1625.61,1646.79,1756.57,3.0,-6.249679773649782,1625.61,6.0,1.3028955284477868,1661.26,-0.8710256070693345,1547.88,6.3900302349019205
2023-10-05,1646.79,1654.85,1608.96,1611.72,1756.57,2.0,-8.246184325133637,1608.96,6.0,0.17153937947493977,1661.26,-2.9820738475614874,1547.88,4.124350724862387
2023-10-06,1611.72,1661.26,1611.72,1645.93,1756.57,1.0,-6.298638824527339,1608.96,5.0,2.29775755767701,1648.54,-0.1583219090831827,1545.6,6.491330227743282
2023-10-07,1645.93,1648.54,1631.04,1634.64,1756.57,0.0,-6.941368690117663,1608.96,4.0,1.5960620525059706,1642.17,-0.45853961526516573,1521.78,7.416315104680055
2023-10-08,1634.64,1642.17,1617.5,1633.61,1743.65,0.0,-6.310899549794981,1608.96,3.0,1.532045544948281,1636.39,-0.16988615183423267,1521.78,7.348631208190404
2023-10-09,1633.61,1636.39,1547.88,1580.25,1670.57,0.0,-5.406537888265678,1547.88,6.0,2.091247383518095,1594.87,-0.9166891345376044,1521.78,3.8422110949020247
2023-10-10,1580.25,1594.87,1551.22,1567.68,1661.26,2.0,-5.633073691053774,1547.88,5.0,1.2791689278238592,1578.37,-0.677280992416216,1521.78,3.0162047076450005
2023-10-11,1567.68,1578.37,1545.6,1566.52,1661.26,1.0,-5.702900208275647,1545.6,6.0,1.3535196687370648,1640.11,-4.486894171732379,1521.78,2.939978183443074
2023-10-12,1566.52,1567.96,1521.78,1539.43,1661.26,0.0,-7.333590166500121,1521.78,6.0,1.159825993244759,1640.11,-6.138612654029293,1537.64,0.1164121640956247
2023-10-13,1539.43,1573.36,1537.64,1552.12,1648.54,0.0,-5.848811675785851,1521.78,5.0,1.9937178830054227,1640.11,-5.364884062654335,1545.01,0.4601911961734811
2023-10-14,1552.12,1561.42,1545.01,1555.02,1642.17,0.0,-5.307002320100848,1521.78,4.0,2.184284193510232,1640.11,-5.188066654065881,1542.75,0.7953330092367514
2023-10-15,1555.02,1566.8,1548.99,1557.99,1636.39,0.0,-4.791033922231258,1521.78,3.0,2.3794503804754985,1640.11,-5.006981239063228,1542.75,0.9878463782207103
2023-10-16,1557.99,1640.11,1555.34,1600.09,1640.11,6.0,-2.440080238520586,1521.78,2.0,5.14594750883833,1644.6,-2.7064331752401793,1542.75,3.716739588397337
2023-10-17,1600.09,1601.37,1553.3,1565.4,1640.11,5.0,-4.555182274359635,1521.78,1.0,2.8663801600757086,1668.32,-6.1690802723698,1542.75,1.4681575109382654
2023-10-18,1565.4,1585.93,1556.22,1563.66,1640.11,4.0,-4.661272719512705,1521.78,0.0,2.752040373772826,1799.36,-13.099101902898798,1542.75,1.3553719008264515
2023-10-19,1563.66,1575.26,1542.75,1567.55,1640.11,3.0,-4.42409350592338,1537.64,0.0,1.9451887307822282,1854.43,-15.469982690098849,1562.17,0.34439273574578194
2023-10-20,1567.55,1631.26,1562.17,1604.86,1640.11,2.0,-2.149246087152691,1542.75,5.0,4.025927726462479,1854.43,-13.458043711544795,1593.24,0.7293314252717664
